signal_time,entry_time,exit_time,direction,signal_move_percentile,entry_price,exit_price,atr_at_entry,stop_price,exit_reason,holding_hours,gross_pnl_pct,funding_pnl_pct,cost_pct,net_pnl_pct
2022-01-08 17:00:00+00:00,2022-01-08 18:00:00+00:00,2022-01-09 02:00:00+00:00,long,0.9567567567567568,40844.88,42090.34,421.5108812067229,40001.85823758655,horizon,8,0.03049243870957631,0.0,0.0014,0.029092438709576313
2022-01-09 02:00:00+00:00,2022-01-09 03:00:00+00:00,2022-01-09 11:00:00+00:00,short,0.8298969072164949,42090.35,41854.25,477.7049663580819,43045.75993271616,horizon,8,0.005609361765820397,0.0001,0.0014,0.004309361765820397
2022-01-09 16:00:00+00:00,2022-01-09 17:00:00+00:00,2022-01-10 01:00:00+00:00,short,0.9567307692307693,42127.99,41790.01,402.4758715112658,42932.94174302253,horizon,8,0.008022694650278732,0.0001,0.0014,0.0067226946502787314
2022-01-10 12:00:00+00:00,2022-01-10 13:00:00+00:00,2022-01-10 14:00:00+00:00,long,0.9605263157894737,40931.6,40198.28572644276,366.6571367786188,40198.28572644276,stop,1,-0.01791560245769137,0.0,0.0022,-0.02011560245769137
2022-01-10 16:00:00+00:00,2022-01-10 17:00:00+00:00,2022-01-11 01:00:00+00:00,short,0.9870689655172413,41892.97,41913.72,529.4330352856656,42951.836070571335,horizon,8,-0.0004953098336069274,0.0,0.0014,-0.0018953098336069274
2022-01-11 01:00:00+00:00,2022-01-11 02:00:00+00:00,2022-01-11 10:00:00+00:00,short,0.8547717842323651,41913.72,41619.09,539.5733295773063,42992.86665915461,horizon,8,0.007029440479155862,0.0,0.0014,0.005629440479155862
2022-01-11 10:00:00+00:00,2022-01-11 11:00:00+00:00,2022-01-11 19:00:00+00:00,long,0.88,41619.08,42938.55,466.49077808540176,40686.0984438292,horizon,8,0.03170348791948311,-0.0001,0.0014,0.03020348791948311
2022-01-12 12:00:00+00:00,2022-01-12 13:00:00+00:00,2022-01-12 13:00:00+00:00,short,0.8623188405797102,43245.67,44009.71493194917,382.0224659745856,44009.71493194917,stop,0,-0.01766754757063943,0.0,0.0022,-0.01986754757063943
2022-01-12 13:00:00+00:00,2022-01-12 14:00:00+00:00,2022-01-12 22:00:00+00:00,short,0.9530685920577617,43881.77,43813.58,421.87300411925804,44725.51600823851,horizon,8,0.001553948256872844,-5.342e-05,0.0014,0.00010052825687284408
2022-01-13 15:00:00+00:00,2022-01-13 16:00:00+00:00,2022-01-13 20:00:00+00:00,long,0.9801980198019802,43170.0,42392.64992760767,388.6750361961631,42392.64992760767,stop,4,-0.018006719304895252,0.0,0.0022,-0.020206719304895253
2022-01-14 10:00:00+00:00,2022-01-14 11:00:00+00:00,2022-01-14 19:00:00+00:00,long,0.9409937888198758,42059.75,43055.09,351.8620576357577,41356.025884728486,horizon,8,0.02366490528355486,0.0,0.0014,0.02226490528355486
2022-01-15 12:00:00+00:00,2022-01-15 13:00:00+00:00,2022-01-15 21:00:00+00:00,long,0.8448275862068966,42699.99,43281.73,297.77223740921625,42104.44552518157,horizon,8,0.013623890778428877,-2.661e-05,0.0014,0.012197280778428876
2022-01-16 17:00:00+00:00,2022-01-16 18:00:00+00:00,2022-01-17 02:00:00+00:00,long,0.8594164456233422,43059.54,42901.91,290.4375373795166,42478.66492524097,horizon,8,-0.00366074509853095,0.0,0.0014,-0.00506074509853095
2022-01-17 03:00:00+00:00,2022-01-17 04:00:00+00:00,2022-01-17 12:00:00+00:00,long,0.8242894056847545,42636.3,42544.28,269.9227475306992,42096.45450493861,horizon,8,-0.0021582548204230685,0.0,0.0014,-0.0035582548204230683
2022-01-17 16:00:00+00:00,2022-01-17 17:00:00+00:00,2022-01-17 21:00:00+00:00,long,0.8175,42211.68,41661.162791980954,275.25860400952337,41661.162791980954,stop,4,-0.013041821790060143,0.0,0.0022,-0.015241821790060143
2022-01-17 21:00:00+00:00,2022-01-17 22:00:00+00:00,2022-01-18 06:00:00+00:00,long,0.9135802469135802,41710.21,42219.79,297.85852414267134,41114.49295171466,horizon,8,0.01221715258686067,0.0,0.0014,0.01081715258686067
2022-01-18 08:00:00+00:00,2022-01-18 09:00:00+00:00,2022-01-18 17:00:00+00:00,long,0.8870192307692307,41709.99,41480.65,305.3062661150326,41099.37746776993,horizon,8,-0.005498442938969694,0.0,0.0014,-0.006898442938969694
2022-01-18 21:00:00+00:00,2022-01-18 22:00:00+00:00,2022-01-19 06:00:00+00:00,short,0.9627039627039627,42348.56,41700.0,357.81248085761945,43064.18496171523,horizon,8,0.015314806453867562,0.0,0.0014,0.013914806453867562
2022-01-19 07:00:00+00:00,2022-01-19 08:00:00+00:00,2022-01-19 16:00:00+00:00,long,0.9407744874715261,41271.21,41904.33,345.8842562886915,40579.44148742261,horizon,8,0.015340475842603176,0.0,0.0014,0.013940475842603176
