signal_time,entry_time,exit_time,direction,signal_vol_percentile,entry_price,exit_price,atr_at_entry,stop_price,exit_reason,holding_hours,gross_pnl_pct,funding_pnl_pct,cost_pct,net_pnl_pct
2022-01-17 16:00:00+00:00,2022-01-17 17:00:00+00:00,2022-01-18 05:00:00+00:00,short,0.0625,42211.68,42084.88,275.25860400952337,42762.197208019046,horizon,12,0.0030039079231151877,0.0,0.0014,0.0016039079231151877
2022-02-15 23:00:00+00:00,2022-02-16 00:00:00+00:00,2022-02-16 04:00:00+00:00,long,0.09861111111111111,44529.7,43862.19442591201,333.75278704399653,43862.19442591201,stop,4,-0.014990120618104114,0.0,0.0022,-0.017190120618104113
2022-02-16 13:00:00+00:00,2022-02-16 14:00:00+00:00,2022-02-16 19:00:00+00:00,short,0.03888888888888889,43635.8,44239.836829991706,302.01841499585316,44239.836829991706,stop,5,-0.013842689488715748,0.0,0.0022,-0.016042689488715747
2022-02-20 04:00:00+00:00,2022-02-20 05:00:00+00:00,2022-02-20 17:00:00+00:00,short,0.029166666666666667,39532.7,38258.3,273.6171180926209,40079.93423618524,horizon,12,0.03223660412772197,0.0,0.0014,0.03083660412772197
2022-03-06 00:00:00+00:00,2022-03-06 01:00:00+00:00,2022-03-06 04:00:00+00:00,long,0.09027777777777778,39624.4,39033.42628211853,295.48685894073253,39033.42628211853,stop,3,-0.014914389060313052,0.0,0.0022,-0.01711438906031305
2022-03-13 12:00:00+00:00,2022-03-13 13:00:00+00:00,2022-03-13 15:00:00+00:00,short,0.034722222222222224,38475.0,39011.81163297685,268.40581648842556,39011.81163297685,stop,2,-0.01395221918068493,0.0,0.0022,-0.01615221918068493
2022-03-20 17:00:00+00:00,2022-03-20 18:00:00+00:00,2022-03-20 20:00:00+00:00,short,0.06805555555555555,41037.2,41604.29542462041,283.5477123102058,41604.29542462041,stop,2,-0.013819057455684423,0.0,0.0022,-0.016019057455684424
2022-03-25 11:00:00+00:00,2022-03-25 12:00:00+00:00,2022-03-26 00:00:00+00:00,long,0.07916666666666666,44554.5,44128.2,310.8940951703952,43932.71180965921,horizon,12,-0.009568057098609634,0.0,0.0014,-0.010968057098609634
2022-04-09 23:00:00+00:00,2022-04-10 00:00:00+00:00,2022-04-10 12:00:00+00:00,long,0.05277777777777778,42727.8,42569.1,240.06803375017094,42247.66393249966,horizon,12,-0.003714209484223488,0.0,0.0014,-0.005114209484223488
2022-04-10 17:00:00+00:00,2022-04-10 18:00:00+00:00,2022-04-10 22:00:00+00:00,long,0.059722222222222225,43074.0,42629.611551567745,222.19422421612603,42629.611551567745,stop,4,-0.010316860482710109,0.0,0.0022,-0.01251686048271011
2022-04-16 15:00:00+00:00,2022-04-16 16:00:00+00:00,2022-04-16 21:00:00+00:00,short,0.06527777777777778,40039.7,40442.84927274609,201.57463637304767,40442.84927274609,stop,5,-0.010068738595596212,0.0,0.0022,-0.012268738595596212
2022-05-22 09:00:00+00:00,2022-05-22 10:00:00+00:00,2022-05-22 15:00:00+00:00,long,0.12361111111111112,30132.5,29733.15101207745,199.67449396127446,29733.15101207745,stop,5,-0.013253098412761934,0.0,0.0022,-0.015453098412761934
2022-05-29 12:00:00+00:00,2022-05-29 13:00:00+00:00,2022-05-30 01:00:00+00:00,long,0.022222222222222223,29367.7,29761.5,163.34973263489383,29041.000534730214,horizon,12,0.013409289797975302,-0.0001,0.0014,0.011909289797975302
2022-05-30 01:00:00+00:00,2022-05-30 02:00:00+00:00,2022-05-30 14:00:00+00:00,long,0.06944444444444445,29761.5,30459.0,180.73495563961495,29400.03008872077,horizon,12,0.023436318733934782,0.0,0.0014,0.022036318733934784
2022-06-06 00:00:00+00:00,2022-06-06 01:00:00+00:00,2022-06-06 13:00:00+00:00,long,0.12638888888888888,30285.3,31437.1,202.1170102467398,29881.06597950652,horizon,12,0.03803165231977228,0.0,0.0014,0.03663165231977228
2022-07-10 13:00:00+00:00,2022-07-10 14:00:00+00:00,2022-07-11 02:00:00+00:00,short,0.08055555555555556,21075.4,20543.6,180.5398652166311,21436.479730433264,horizon,12,0.025233210283078986,4.543e-05,0.0014,0.023878640283078987
2022-07-12 07:00:00+00:00,2022-07-12 08:00:00+00:00,2022-07-12 20:00:00+00:00,short,0.12916666666666668,19722.9,19449.5,178.16169604111133,20079.223392082225,horizon,12,0.013862058825020734,2.667e-05,0.0014,0.012488728825020733
2022-07-16 16:00:00+00:00,2022-07-16 17:00:00+00:00,2022-07-16 20:00:00+00:00,long,0.10833333333333334,21454.3,21076.787270540706,188.75636472964578,21076.787270540706,stop,3,-0.017596133617004194,0.0,0.0022,-0.019796133617004195
2022-07-27 07:00:00+00:00,2022-07-27 08:00:00+00:00,2022-07-27 20:00:00+00:00,long,0.05277777777777778,21335.0,22769.4,179.44344733592567,20976.11310532815,horizon,12,0.06723224748066564,0.0,0.0014,0.06583224748066564
