entry_time,exit_time,direction,entry_price,exit_price,atr_at_entry,stop_price,exit_reason,holding_days,gross_pnl_pct,funding_pnl_pct,cost_pct,net_pnl_pct
2022-02-01 00:00:00+00:00,2022-02-07 00:00:00+00:00,short,38439.04,42361.34,2177.838831328505,43883.63707832126,signal_flip,6,-0.10203948901949673,0.0006191500000000001,0.0014,-0.10282033901949673
2022-02-07 00:00:00+00:00,2022-02-12 00:00:00+00:00,long,42361.34,42365.99,2119.267917667956,37063.17020583011,signal_flip,5,0.00010976989868595883,-0.0005837700000000001,0.0014,-0.0018740001013140412
2022-02-12 00:00:00+00:00,2022-02-16 00:00:00+00:00,short,42365.99,44529.7,2216.553076163742,47907.37269040935,signal_flip,4,-0.051071862123368277,0.00049529,0.0014,-0.05197657212336827
2022-02-16 00:00:00+00:00,2022-02-18 00:00:00+00:00,long,44529.7,40491.8,2045.7607847853142,39415.29803803671,signal_flip,2,-0.09067880538157666,-0.00030000000000000003,0.0014,-0.09237880538157665
2022-02-18 00:00:00+00:00,2022-02-21 00:00:00+00:00,short,40491.8,38367.9,2142.4447583097863,45847.911895774465,signal_flip,3,0.052452595340291154,0.00020758000000000001,0.0014,0.051260175340291154
2022-02-21 00:00:00+00:00,2022-02-28 00:00:00+00:00,long,38367.9,37672.1,2020.8434526263115,33315.79136843422,signal_flip,7,-0.018134951352563024,-7.609999999999993e-05,0.0014,-0.01961105135256302
2022-02-28 00:00:00+00:00,2022-02-28 00:00:00+00:00,short,37672.1,43534.73381983917,2345.05352793567,43534.73381983917,stop,0,-0.1556226974296409,0.0,0.0022,-0.15782269742964092
2022-03-01 00:00:00+00:00,2022-03-07 00:00:00+00:00,long,43155.0,38401.1,2672.3068473688363,36474.23288157791,signal_flip,6,-0.11015873015873019,-0.00106261,0.0014,-0.1126213401587302
2022-03-07 00:00:00+00:00,2022-03-20 00:00:00+00:00,short,38401.1,42188.2,2488.2480790903355,44621.72019772584,signal_flip,13,-0.09861957079354494,0.0014935200000000004,0.0014,-0.09852605079354494
2022-03-20 00:00:00+00:00,2022-04-16 00:00:00+00:00,long,42188.2,40529.6,2213.745520464235,36653.83619883941,signal_flip,27,-0.03931431063662348,-0.00484547,0.0014,-0.04555978063662348
2022-04-16 00:00:00+00:00,2022-04-20 00:00:00+00:00,short,40529.6,41472.9,1820.290695640346,45080.32673910086,signal_flip,4,-0.023274347637282453,5.9170000000000045e-05,0.0014,-0.02461517763728245
2022-04-20 00:00:00+00:00,2022-04-22 00:00:00+00:00,long,41472.9,40449.7,1739.5765685699694,37123.958578575075,signal_flip,2,-0.02467153249471352,-2.9099999999999975e-06,0.0014,-0.026074442494713516
2022-04-22 00:00:00+00:00,2022-06-09 00:00:00+00:00,short,40449.7,30192.6,1828.8818371853306,45021.90459296332,signal_flip,48,0.2535766643510335,0.0053460999999999995,0.0014,0.2575227643510335
2022-06-09 00:00:00+00:00,2022-06-10 00:00:00+00:00,long,30192.6,30093.4,1653.711183701939,26058.32204074515,signal_flip,1,-0.0032855732861693625,0.0,0.0014,-0.004685573286169363
2022-06-10 00:00:00+00:00,2022-06-11 00:00:00+00:00,short,30093.4,29077.7,1591.1175277232292,34071.19381930807,signal_flip,1,0.03375158672665769,0.0,0.0014,0.032351586726657694
2022-06-11 00:00:00+00:00,2022-06-12 00:00:00+00:00,long,29077.7,28416.6,1589.54484717157,25103.837882071075,signal_flip,1,-0.022735635899675772,0.0,0.0014,-0.02413563589967577
2022-06-12 00:00:00+00:00,2022-07-17 00:00:00+00:00,short,28416.6,21183.6,1572.2845009450295,32347.31125236257,signal_flip,35,0.25453432148814426,0.0032778300000000007,0.0014,0.2564121514881442
2022-07-17 00:00:00+00:00,2022-07-26 00:00:00+00:00,long,21183.6,21300.0,1248.5933788992,18062.116552752,signal_flip,9,0.005494816745029243,-0.0019897400000000003,0.0014,0.0021050767450292423
2022-07-26 00:00:00+00:00,2022-07-27 00:00:00+00:00,short,21300.0,21241.0,1280.2410170711416,24500.602542677854,signal_flip,1,0.0027699530516431927,0.0,0.0014,0.0013699530516431927
2022-07-27 00:00:00+00:00,2022-08-19 00:00:00+00:00,long,21241.0,23185.0,1234.8523729946317,18153.86906751342,signal_flip,23,0.09152111482510239,-0.0035590499999999994,0.0014,0.0865620648251024
2022-08-19 00:00:00+00:00,2022-08-25 00:00:00+00:00,short,23185.0,21355.0,1011.2729716652894,25713.182429163222,signal_flip,6,0.07893034289411258,-0.00038197000000000003,0.0014,0.07714837289411258
2022-08-25 00:00:00+00:00,2022-08-27 00:00:00+00:00,long,21355.0,20228.7,996.5136642006576,18863.715839498356,signal_flip,2,-0.0527417466635448,-4.099e-05,0.0014,-0.0541827366635448
2022-08-27 00:00:00+00:00,2022-09-13 00:00:00+00:00,short,20228.7,22777.934811861112,1019.6939247444445,22777.934811861112,stop,17,-0.12602069395764987,0.00122944,0.0022,-0.12699125395764987
2022-09-14 00:00:00+00:00,2022-10-05 00:00:00+00:00,short,20162.6,20332.9,1061.7995993720517,22817.098998430127,signal_flip,21,-0.008446331326317188,0.00255954,0.0014,-0.0072867913263171885
2022-10-05 00:00:00+00:00,2022-10-10 00:00:00+00:00,long,20332.9,19430.0,934.586537751129,17996.43365562218,signal_flip,5,-0.0444058643872739,-0.0007983,0.0014,-0.0466041643872739
2022-10-10 00:00:00+00:00,2022-10-21 00:00:00+00:00,short,19430.0,19034.8,805.9621974125921,21444.90549353148,signal_flip,11,0.020339680905815786,0.00209617,0.0014,0.02103585090581579
2022-10-21 00:00:00+00:00,2022-10-23 00:00:00+00:00,long,19034.8,19195.1,662.429973539797,17378.725066150506,signal_flip,2,0.008421417614054221,-0.00011762,0.0014,0.00690379761405422
2022-10-23 00:00:00+00:00,2022-10-24 00:00:00+00:00,short,19195.1,19560.6,624.0901302460495,20755.325325615122,signal_flip,1,-0.01904131783632281,0.0,0.0014,-0.02044131783632281
2022-10-24 00:00:00+00:00,2022-11-04 00:00:00+00:00,long,19560.6,20199.8,625.226549514189,17997.533626214525,signal_flip,11,0.03267793421469693,-0.0007122700000000001,0.0014,0.030565664214696933
2022-11-04 00:00:00+00:00,2022-11-05 00:00:00+00:00,short,20199.8,21137.6,623.0390379187733,21757.397594796934,signal_flip,1,-0.0464262022396261,0.0,0.0014,-0.0478262022396261
2022-11-05 00:00:00+00:00,2022-11-08 00:00:00+00:00,long,21137.6,19490.295090545704,658.9219637817181,19490.295090545704,stop,3,-0.07793244783959839,-0.00050902,0.0022,-0.08064146783959839
2022-11-09 00:00:00+00:00,2022-12-10 00:00:00+00:00,short,18533.9,17122.0,864.2729645868818,20694.582411467207,signal_flip,31,0.07617932545227941,-0.0017770799999999992,0.0014,0.07300224545227942
2022-12-10 00:00:00+00:00,2022-12-11 00:00:00+00:00,long,17122.0,17120.1,544.3704850553071,15761.073787361733,signal_flip,1,-0.00011096834481961542,0.0,0.0014,-0.0015109683448196155
2022-12-11 00:00:00+00:00,2022-12-12 00:00:00+00:00,short,17120.1,17077.3,516.029736122785,18410.17434030696,signal_flip,1,0.0024999853972815156,0.0,0.0014,0.0010999853972815156
2022-12-12 00:00:00+00:00,2022-12-17 00:00:00+00:00,long,17077.3,16624.1,493.81332639972896,15842.766684000677,signal_flip,5,-0.0265381529867134,-0.00078715,0.0014,-0.0287253029867134
2022-12-17 00:00:00+00:00,2022-12-18 00:00:00+00:00,short,16624.1,16768.1,576.0410712406562,18064.20267810164,signal_flip,1,-0.008662123062301118,0.0,0.0014,-0.010062123062301118
2022-12-18 00:00:00+00:00,2022-12-20 00:00:00+00:00,long,16768.1,16429.2,550.4809947234664,15391.897513191332,signal_flip,2,-0.02021099587907979,-0.00014457,0.0014,-0.02175556587907979
2022-12-20 00:00:00+00:00,2022-12-21 00:00:00+00:00,short,16429.2,16887.3,531.8045311646214,17758.711327911555,signal_flip,1,-0.027883280987509952,0.0,0.0014,-0.02928328098750995
